1278705043,@starsportsindia chillana h toh india-india chillana pak-pak toh murgi bhi karti h.. #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278707066,"@komal_indian mera munsif hi mera qatil hai, mere haq may kya ? faisala dega. #unionbudget2015","
Covertly Aggressive
",Political Aggression
1278707067,ab to pathake ke chalo yaro #indvssa,"
Non Aggressive
",-
1278707068,somewhere in pak: ayub: bhaijaan india chote log dekh ke dabata hai. suleman: bilkul sahi keh riya hai ayub. bilkul sahi. #indvsuae,"
Covertly Aggressive
",Political Aggression
1278707069,#indvspak kaal he.. lekin humara match to aaj hogaya.. jeise ki aap loog jaante hein.. hum hi jeet gaye...,"
Non Aggressive
",-
1278707070,rt @ashkumar1234: photo para gaura kiya jae.... #indvspak @balliawalebaba @choriketweet @chetan_bhagat @narendramodi http://t.co/39zrvxtaug,"
Non Aggressive
",-
1278707071,@onetiponehand_ dhoni ne 3 cauke lagatara jaड़ die... aura maim icu mem se tvita kara raha hu~| #indvssa #cwc15,"
Non Aggressive
",-
1278707072,"aja bijepi bhale hare gayi hai, maim bijepi aura modi ji ke satha tha, aura hu~, aura sada rahu~ga, kyomki mujhe muफ़ta ke khane ka zauka nahim hai, #delhidecides","
Covertly Aggressive
",Political Aggression
1278707073,rt @divya_bhatia07: haraaaaya ni bhai hmne to dho dia #cwc15 go india #indvssa,"
Covertly Aggressive
",General Non-threatening Aggression
1278707078,@gurmeetramrahim #blockbustermsg dhan dhan satguru tera hi aasra apaki inayate sataguru bhula nahim paemge itana diya hai hame gina nahim paemge🙏,"
Non Aggressive
",-
1278707079,"pk movie se humko sikh mili : ""pakistani dhoka nahi dete"". @coolfunnytshirt","
Non Aggressive
",-
1278707080,@arvindkejriwal ne dhoka diya #jhaadu keh kar vacuum cleaner chala diya #aapsweep #kejriwal #dillikiski @vishaldadlani,"
Covertly Aggressive
",Political Aggression
1278707081,saala har koi dp par helmet laga rahe hain! kaash inke maa-baap condom lagaate! #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278707082,#landacquisitionbill once again garibi nahi garibo ko hatao... sarkar nayi soch wahi,"
Covertly Aggressive
",Political Aggression
1278707083,mahila suraksa ki aura behatarina aura saksama kadama mahila bogi mem cctv ke jariye najara rakhi jayegi #railbudget2015,"
Non Aggressive
",-
1278707084,@ndtv barakha ki saheli tista ki le li. aba barakha khisiyani billi bana kara baithi hai. isaki itani ghatiya zakala ko bardazta kaise karate ho? #indvssa,"
Covertly Aggressive
",General Non-threatening Aggression
1278707085,"hama vvip kalcara bamda karemge, zuruvata ho cuki hai mitro :) #5saalpakistan #pakistankidilli #aapsweep #delhidecides http://t.co/tj87t0e9fc","
Non Aggressive
",-
1278707086,"biphabaina ke bada #media ke rata ka dinara menyu yahi rahana cahie, kai haphtom taka. #beefban","
Covertly Aggressive
",General Non-threatening Aggression
1278707087,rt @ajihaaan: tima aura dihada़i majadurom mem jo pharka hai..vo maidana mem sapha़ dekha ja sakata hai. na tumhara deza..na tumhare loga...tu kauna maim khamakha ;…,"
Covertly Aggressive
",General Non-threatening Aggression
1278707088,rt vikram4c: patela nagara se aap umidavara hajari lala cauhana aba piche cala rahe haim :( #delhidecides,"
Non Aggressive
",-
1278707089,"adhikatara neta jamidara hai, kale dhana se zaharom mem jamina kharida kara baithe hai aura aja ye kisano ke kamdhe se banduka cala rahe hai #landacquisitionbill","
Covertly Aggressive
",Political Aggression
1278707090,rt @ceruleanlineage: india itna acha khel gayi ki saala pata bhi nahin chala! lol. #peptalk #indvsuae,"
Non Aggressive
",-
1278707091,rt jasvirsjasvir: rt nishu_insa: gurmeetramrahim #msgincinemas movie ayi mere yar di... 💃💃💃💃💃💃 movie ayi mere yar di...hippp hippp hurrey…,"
Non Aggressive
",-
1278707092,@narendramodi gadi bula rahi he #railbudget2015,"
Covertly Aggressive
",Political Aggression
1278707093,melissa oru kodu .. indha pakkam #yennaiarindhal andha pakkam #shamitabh :) kalakattudhu !,"
Non Aggressive
",-
1278707094,kriketa mem bharatiya ilektraॉniksa dukanadarom ka sahayoga bhulaya nahim ja sakata|inake jaज़be ko salama| #wc2015 #indvssa http://t.co/n5urr345y2,"
Non Aggressive
",-
1278707095,ghar ghar dekho koi kha to nhi rha kyuki aur kuch to bcha nhi karne ko. #beefban,"
Covertly Aggressive
",Political Aggression
1278707096,dillivalomke lie roja eka acchi khabara a rahi hai- aja gopala raya ne kaha ki kendra ki sahayata se vade pure karemge | #aapsweep,"
Covertly Aggressive
",Political Aggression
1278707097,rt @drgpradhan: laumdo se galati ho jati hai : mullyam aja isarata ki atma rorahi hogi : @nitishkumarjdu salamana khurzida ki napumsaka klinika paka mem …,"
Covertly Aggressive
",Political Aggression
1278707098,"rt @chandu532: ddnewshindi: vizvakapa : bharata ka pahala viketa gira, rohita zarma ranaauta bharata-9/1 #iccworldcup2015 #indvssa #uhf","
Non Aggressive
",-
1278707099,"pichli baar logo ne kaha ""mai hu anna"" iss bar log bol rahe hai ""kon bey anna"" #arvindannaback @arvindkejriwal #landacquisitionbill","
Covertly Aggressive
",Political Aggression
1278707100,rt @ethindi: samsada parisara mem lai gaim rela bajata 2015-16 ki kaॉpiyam| #railbudget2015 http://t.co/kybf85807z,"
Non Aggressive
",-
1278707101,"#blockbustermsg #msg100croreclub jivom ko samajhane ke lie msg parade para laya data,aba to batom mem msg, khyalo mem msg","
Covertly Aggressive
",General Non-threatening Aggression
1278707102,@navendusingh_ dilli mem kamgresa aba mistara imdiya ke rupa mem baci hai jo sunai to deti hai para dikhai nahim deti #aapsweep,"
Covertly Aggressive
",Political Aggression
1278707103,@gurmeetramrahim #msgincinemas pita ji sise movie na kisi ne baanai hai aur na hi koi baana sakta hai,"
Non Aggressive
",-
1278707104,haar kar jeetne wale ko arvind baazigar kejriwal kehte hai! #delhidecides,"
Covertly Aggressive
",Political Aggression
1278707105,"@gurmeetramrahim #blockbustermsg sade upar jo kite upkar pita shah satnam ji,dita ruh no jo mithta pyar pita shah stanam ji thnku papa ji","
Non Aggressive
",-
1278707106,pakistan: kashmir humara hai india: kashmir toh chodo humare saamne world cup ka match bhi tumhara nahi #indvspak,"
Covertly Aggressive
",Geographical Aggression
1278707107,"pata nahim dilli valom ne kya dekha ? #aapsweep #delhidecides #kiskidilli #feb10witharnab #3daystomsg http://t.co/u6foipqhkl""","
Covertly Aggressive
",Political Aggression
1278707108,rt @rekha84insan: @gurmeetramrahim #blockbustermsg dhan dhan satguru tera hi aasrs,"
Non Aggressive
",-
1278707109,rt @dhavalkg1008: @teri_jhali @deepupaul2 @mirza_simple lagta hai pakistan ke fans ko har ka bahoot bada sadma laga hai 😂😂 #indvspak,"
Covertly Aggressive
",Geographical Aggression
1278707110,wicket lelo. warna yeh tumari le lenge😕 #indvssa,"
Covertly Aggressive
",General Non-threatening Aggression
1278707111,"""@gaurdhruv03: #indvspak ka match kitne bje hai ???? #iccworldcup2015"" 7:30 am","
Non Aggressive
",-
1278707112,rt @magicianbobo: mahamge dina ane vale haim hama phira bhi modi modi gane vale haim #unionbudget2015,"
Covertly Aggressive
",General Non-threatening Aggression
1278707113,rt @shayar_yaar: anuska kaba se apani pica buhara ke baithi hai ... aba vaha~ bhi to khelana hai kohali ko ... ama ... tuma bhi kamala karate ho yara #indvs…,"
Covertly Aggressive
",Sexual Aggression
1278707114,rt jasvirsjasvir: rt jsingh341: rt sunnysainic: rt barjinderinsan: gurmeetramrahim #blockbustermsg #mustwatchmsg http://t.co/bk0mbgeeyu,"
Non Aggressive
",-
1278707115,aba bijali kampaniyam kyom karane lagim kejarivala ka svagata http://t.co/k86amhxng4 #aapsweep,"
Covertly Aggressive
",General Non-threatening Aggression
1278707116,@gurmeetramrahim #blockbustermsg dhan dhan satguru tera hi aasra bht bht mubark ji~,"
Non Aggressive
",-
1278707117,imdiya ki akramakata ko dekhate hue baki sabhi timsa ne apani dresa me se hara ramga hatavane ka nizcaya kiya hai #indvssa,"
Covertly Aggressive
",General Non-threatening Aggression
1278707118,"rt ewellscot: rt rajkumarinsan77: koi bhi laksya bada़a nahim , jita vahi jo dara nahim #msg100croreclub #blockbustermsg","
Non Aggressive
",-
1278707119,rt @gautamgulati987: sabne jyada se jyada logon ko #blockbustermsg #mustwatchmsg .. movie jarur dikhani hai ji .aapki seva hai ji bahut bad…,"
Non Aggressive
",-
1278707120,"bijepi samarthaka niraza na hom, hara-jita to calati rahati hai. lekina thoda़i iज़ज़ta se to harate yara. #aapsweep #aapstorm","
Covertly Aggressive
",General Non-threatening Aggression
1278707121,#kiskidilli #delhidecides please checkout #ourprophetourhonour thanks. badahlokman.,"
Non Aggressive
",-
1278707122,uae 100 para bhi pahu~ca payegi? #indvsuae,"
Covertly Aggressive
",General Non-threatening Aggression
1278707123,@gurmeetramrahim #blockbustermsg and jahan bhi aisa hoga use rokenge ji. kanooni karwayi karenge.,"
Covertly Aggressive
",General Non-threatening Aggression
1278707124,chalo bhai aapiyo kaam pe lag jao .. 15 lakh khambhe lagane hai cctv aur wifi ke liye. #delhidecides #kiskidilli,"
Covertly Aggressive
",Political Aggression
1278707125,#railbudget2015 na kiraya baढ़a na koi trena| sarahaniya kadama| focus on passenger amenities.,"
Non Aggressive
",-
1278707126,"rt ""@saathi_: ticara: a b c d sunao.. jaitley: a b c d ticara: aura sunao... jaitley: aura saba badhiyam, apa sunao !!"" #unionbudget2015 @aapforindia","
Covertly Aggressive
",Political Aggression
1278707127,jaise jaise wicket jayenge waise waise rohit sharma dukhi hoga #indvsuae,"
Covertly Aggressive
",General Non-threatening Aggression
1278707128,@dhanushkraja #shamitabh ipava pakanum pola iruku especially villain role,"
Non Aggressive
",-
1278707129,isa bara kahim se havana hone ki bata nahim sunane mem ai...nahim to loga #indvspak maica se pahale imdiya ki jita ke lie baड़e-baड़e havana bhi karate the #indwins,"
Covertly Aggressive
",General Non-threatening Aggression
1278707130,"@gurmeetramrahim subah uth k aankhe kholne se pahle jiska chehra dekhne ki ichcha ho, wo pyar ho tum ah ""meet"" mere… #blockbustermsg","
Non Aggressive
",-
1278707131,bjp:bhaiyo abase svaccha bharata abhiyana mem krpa karake 'jadu' ke badale vekyuma klinara ka upayoga kare jisase aap ka ora jyada pracara na ho #delhidecides,"
Covertly Aggressive
",Political Aggression
1278707132,rt @cuteeaadi: rohit sharma ki crease pe sone ki aadat ko laike #team india #kejri ke sath milke #dharana degi- kumar maharaj #indvsuae #cwc…,"
Non Aggressive
",-
1278707133,"#landacquisitionbill jamina adhigrahana para rajyasabha mem jetali ka bayana, kamgresa ki sarakara mem sabase jyada samzodhana ae http://t.co/om3uzciszs","
Covertly Aggressive
",Political Aggression
1278707134,"@anjanaomkashyap kiski kitni aukaat hai, samajh mein aayi?? #aajtak #10febwitharnab #delhidecides #delhikiski @swarupkgh","
Covertly Aggressive
",General Non-threatening Aggression
1278707135,pehle bhi badla tha phir badlenge.. dilli ka haal... #5saalkejriwal #aapsweep,"
Covertly Aggressive
",Political Aggression
1278707136,harakara jitnevaloko kejarivala kahate hai| #aapsweep #kiskidilli #delhidecides,"
Covertly Aggressive
",General Non-threatening Aggression
1278707137,#railbudget2015 rajya ki pramukha zahara se lokala trena calani cahie jaise patana lakhanau ahamadabada rayapura jayapura bhopala camdigadha़ dhanabada varanasi nagapura puri,"
Non Aggressive
",-
1278707138,"janata bhasana nahim, neta ka niyata dekhati hai - kumara vizvasa| #aapsweep #aapstorm","
Covertly Aggressive
",General Non-threatening Aggression
1278707139,rt nandinigoenka: rt jsingh341: rt supriya443: rt insan_anu: gurmeetramrahim #blockbustermsg #blockbustermsg #blockbustermsg #blockbuster…,"
Non Aggressive
",-
1278707140,"hara #tvitarabaja soca raha hai ki pure deza mem sirpha maim hi maica dekha raha hu~, isaliye bata rahe haim tisara bhi auta #indvspak #jayahinda","
Covertly Aggressive
",General Non-threatening Aggression
1278707141,"#pk philma apako kaisi lagi...? 10 mem se apake kitane nambara… apane nambara yaha~ rajistara kare,,, http://t.co/rcsoysurv7 http://t.co/z8wd8rpkrz","
Non Aggressive
",-
1278707142,"rt @bhaskarhindinew: #delhidecides #kiskidilli #appkidilli ctrl + aap = delhi, dilli mem sarakara ka matalaba kya? http://t.co/wrytbvikv5 http:/…","
Covertly Aggressive
",Political Aggression
1278707143,"jabse modi ji ki sarkar aayi hai, sirf ek achha kaam hua hai. aur woh hai uttaran khatam ho gaya! #unionbudget2015","
Covertly Aggressive
",Political Aggression
1278707144,khail ka hai sama josh mein hai jahan:)) #worldcup2015 14 days more #indvspak #excited,"
Non Aggressive
",-
1278707145,#indvssa #wontgiveitback #maukamauka tumse naa ho paayega... :v,"
Overtly Aggressive
",General Non-threatening Aggression
1278707146,cauka marakara itana uड़ rahe ho 😳 salom chakka mara taba to namga naca karane laga jaoge bc tuma maidana mem 😂 #indvspak,"
Overtly Aggressive
",Curse / Abuse
1278707147,@sirjadeja arey bhai is baar to bahut mushkil hai.... indian batsman australian bouncy pitches pe hathyar rakh dete hai... #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278707148,nacho gao khushi mnao msg movie aayi h. buuuuurrrrrrraaaaaaaaa#msgincinemas,"
Non Aggressive
",-
1278707149,#relabajata lainom ki ksamata mem hogi 14 pratizata ki badha़otari| #railbudget2015 laiva http://t.co/5ul1ycqsxz #sureshprabhu @railminindia,"
Non Aggressive
",-
1278707150,afridi ko retire kro yaar! baar baar aa jaata hai! #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278707151,rana auta hi hua haim #indvssa,"
Non Aggressive
",-
1278707152,"rt @lawyerisbad: ye accha haim , chutti lekara logo ko pradarzita kiya jaye ki maim kama bhi karata hu~... bhale hi vastavikata kucha aura hi ho... #ra…","
Covertly Aggressive
",General Non-threatening Aggression
1278707153,baniye ki dukaan ne chai waale ki tapri band kar di #aapsweep #aapkidilli,"
Covertly Aggressive
",Political Aggression
1278707154,kripya pk movie bachchon ko naa dikhayein. anushka ke lips se darr jayenge.,"
Covertly Aggressive
",General Non-threatening Aggression
1278707155,aravinda kejarivala ne dhokha diya hai jhaड़u bola ke vaikyuma klinara cala diya: baba ramadeva #delhidecides,"
Covertly Aggressive
",Political Aggression
1278707156,rega jha aurato ki @jhasanjay hai @regajha #indvspak,"
Non Aggressive
",-
1278707157,@gurmeetramrahim #msgincinemas suprrbbb movieee pitaji suppppppppppppppppeeeeeeeeeeeeeeeeeeeeeeerrrrrrrrerrrrrbbbbbb,"
Non Aggressive
",-
1278707158,"@skhurana2010 aja galiyam dene ka vakta kisake pasa hai, ji :-) #aapsweep","
Covertly Aggressive
",General Non-threatening Aggression
1278707159,rt @nonesuchis: sour grapes losers ki vendetta politics shuru ? #aapstorm,"
Covertly Aggressive
",Political Aggression
1278707160,out ho ja bhai misbah #indvspak,"
Non Aggressive
",-
1278707161,hamare bharata maim hara iztihara maim bivi eka dama bomb para husband natthu lala halavai | 😡😡😡 #indvspak http://t.co/7pwuq9uud8,"
Covertly Aggressive
",General Non-threatening Aggression
1278707162,rt @amarujalanews: lovara bartha para bujurgom ka kota badha़ega--&gt;&gt;http://t.co/cwy8ktsjxi #railbudget2015 #sureshprabhu http://t.co/r5j7ocfvrm,"
Non Aggressive
",-
1278707163,"apana laumda tima mem hota to aba taka kaba ka kaॉmemtetara kaha cuka hota "" emda sahavaga startasa ऑpha ina a staila"" ;) #indvspak","
Non Aggressive
",-
1278707164,@srbachchan sha...mi...tabh....!!!!! #shamitabh #shamitabhtrailerlaunch #erostheater #shamitabh #shamitabh time!!!! http://t.co/5w19rwld8j,"
Non Aggressive
",-
1278707165,@gurmeetramrahim #blockbustermsg tuhanu v mubarka. n dhan dhan satguru tera hi aasra,"
Non Aggressive
",-
1278707166,#msgincinemas #mustwatchmsg @gurmeetramrahim ...msg ..ye kaise kasak satguru mere dil ko lga di hai...,"
Non Aggressive
",-
1278707167,"#unionbudget2015 ubarati nahim, ubharati arthavyavastha ka daura - http://t.co/pp7khmg5cp","
Non Aggressive
",-
1278707168,aba ye aphavaha kauna uda raha hai... ...ki ghara ki chata para jhadu latakane para phri vai phai netavarka milega. . .󾌴 #delhidecides,"
Covertly Aggressive
",Political Aggression
1278707169,"kejarivala ne ki rastrapati se mulakata, rastrapati ne jita para di badhai #aapstorm #kejridefeatmodi #delhi","
Non Aggressive
",-
1278707170,meri dila se khvaiza hai ki anna hajare aba dilli mem akara dharana de lokapala ke lie!!! #aapsweep #delhidecides #delhivotes @tigernamo @madan_chikna,"
Covertly Aggressive
",General Non-threatening Aggression
1278707171,#worldcup2015 #indvssa aab india ke fielding dekhiyo,"
Non Aggressive
",-
1278707172,rt @rohit8804: uae ne rohita ko dohara zataka lagane se roka | 😂😂 #uaevind #indvsuae,"
Covertly Aggressive
",General Non-threatening Aggression
1278707173,# aapsweep hawayizado or shehzadon par.aam aadmi ki jeer dekhna shaan dar. shahbash kejriwal,"
Covertly Aggressive
",Political Aggression
1278707174,rt jsingh341: rt andrewparkerdss: rt sunnyinsan1: gurmeetramrahim #msgincinemas pita ji sirf supne ch aake mujhe jor se japhi daal lena pit…,"
Non Aggressive
",-
1278707175,gabbar bhadak gaya hai.. #indvssa ab mausam na badle bas,"
Covertly Aggressive
",General Non-threatening Aggression
1278707176,"kitne bhi bure form mein ho, tumse naa haarne wale hum bhai. #cwc15 #indvspak 6-0","
Covertly Aggressive
",General Non-threatening Aggression
1278707177,kya se kya ho gaya bewafaa tere pyaar mein amit shah to kiran bedi #kiskidilli #delhidecides,"
Covertly Aggressive
",General Non-threatening Aggression
1278707181,"abki baar, lag gayi yaar! #delhidecides","
Covertly Aggressive
",General Non-threatening Aggression
1278707182,rt @timesnowhindi: varistha nagarikom ke lie nicali barthom mem kota badha़ane ka prastavah rela mamtri #railbudget2015 #tnh,"
Non Aggressive
",-
1278707183,"dear pakistan, bat sambhalta nahi tumse, kashmir chahiye?. :d :d #cwc15 #indvspak","
Covertly Aggressive
",General Non-threatening Aggression
1278707184,#aapsweep muffler ne bjp ka gala ghont diya.,"
Covertly Aggressive
",Political Aggression
1278707185,brekimga nyuja़:@twitterindia pe amala para hamala ho gaya| bacane ki koi ummida nahim #tvitara ghayala karane mem mahira haim| #indvssa #cwc15 @wesurat,"
Covertly Aggressive
",General Non-threatening Aggression
1278707186,"janata ko lute sarakara bacce paida kara lo cara sabako banao kukura siyara padhai likhai bana diyo bekara, dhana - pazuo ki jaya jayakara,abaki bara ramga siyara #aapsweep","
Covertly Aggressive
",Political Aggression
1278707187,rt parmbrarinsan: rt jsingh341: rt sukhchin: rt jsingh341: rt prem_insa: rt nitzneetu: #blockbustermsg #gurmeetramrahim teriyan raatan teri…,"
Non Aggressive
",-
1278707188,"@atiyaz bs thoda aur dum,., melbourne jeet rahe hein hum* #indvssa","
Non Aggressive
",-
1278707189,"jhutha bolate the kitana,, phira bhi sacce the hama.. ye una dinom ki bata hai,, jaba bacce the hama..😛😛😛😛💗""#blockbustermsg","
Non Aggressive
",-
1278707190,"dhavana ke zataka ke kai matalaba hai,mujhe jo samajha a raha hai usa hisaba se aja zama ko macisa kama paड़ne vali haim #indvssa","
Non Aggressive
",-
1278707191,@gurmeetramrahim tumhaari aankh se dil tak safar karna hai buss hum ko yeh kitni khubsoorat manziloon ka raasta hoga.. #msgincinemas,"
Non Aggressive
",-
1278707192,kamgresa ne kaha tha ki hama cunava ke bada disaida karemge ki samarthana dena hai ya nahim... :-d #aapsweep #delhidecides,"
Non Aggressive
",-
1278707193,@gurmeetramrahim #msgincinemas papa movie dekh ke bhut maza aaya papa ab to saber nhi ho rha ab dobbera kab moka milega,"
Non Aggressive
",-
1278707194,kucha bhi ho bajaramga dala vale to kala hi phayanala maica khelane vale hai.. jama ke pitai hone vali hai laumdo ki.. 🙌🙌 happy valentine's day #cwc2015 #indvspak,"
Covertly Aggressive
",Political Aggression
1278707195,@gurmeetramrahim dhana dhana sataguru tera hi asara ji #mustwatchmsg #blockbustermsg 😊 👍,"
Non Aggressive
",-
1278707196,"accha hai 301 ka tarageta ka diya, varana kahim 302 ka hota to isis aura talibana vale a jate maidana mem. 😄 #indvspak #cwc15.","
Covertly Aggressive
",General Non-threatening Aggression
1278707197,"rt @jansatta: ‘zamitabha’ pha़ilma samiksa: asaphalata, abhinaya, abhimana, avaja aura amitabha http://t.co/ff6luh9x9l #shamitabh","
Non Aggressive
",-
1278707198,@srbachchan sir shamitabh adbhut krati hai aapki ... aapki kala ki gahrai ka varnan karna mushkil hi nahi naamumkin hain :)),"
Non Aggressive
",-
1278707199,@gurmeetramrahim #msgincinemas #msgincinemas tera deedar hua pehla sa pyaar hua mere satguru... dhan dhan satguru tera hi aasra,"
Non Aggressive
",-
1278707200,anuska anuska anuska anuska anuska anuska anuska anuska anuska anuska anuska #indvspak,"
Non Aggressive
",-
1278707201,full majority maangi thi... ful house dediya dilli ki janta ne... #dillidilwalonki #aapsweep #aap #kiskidilli #mycmkejriwal,"
Non Aggressive
",-
1278707202,"🙌🙌🙌🙌🙌👍👍👏👏👌 ""@navbharattimes: gretara kailaza se saurabha bharadvaja ki jita| kamgresa ki zarmistha mukharji ko haraya| #delhidecides""","
Non Aggressive
",-
1278707203,"rt @thebakwaashour: bina toda़e kama nahi calega babu ji , inase kahie toda़na zuru kare - dudhavala #indvssa","
Non Aggressive
",-
1278707204,cillana hai to india india cilao pak pak pak to murgi bhi karati hai .... 🐣🐣 #indvspak @mhaagyaani,"
Covertly Aggressive
",General Non-threatening Aggression
1278707205,jaya ho #indvssa,"
Non Aggressive
",-
1278707206,"human psychology ke baare mai aaj jana ke pak ind se haar jaaye dukh hota hai, ind #cwc15 mai sa se jeet jaaye zyada dukh hota hai. #indvssa","
Non Aggressive
",-
1278707207,@gurmeetramrahim #blockbustermsg papag aap ke autograph bilkul unique hai,"
Non Aggressive
",-
1278707208,"@gurmeetramrahim #msgincinemas #welovemsg yaham bhi hoga vaham bhi hoga, aba to sare jaham me hoga, tera hi jalava, msgka jalava aba jagega himdusatana💃","
Non Aggressive
",-
1278707209,"rt @hindisatire: sautha aphrika ke pradhanamamtri ne modi ko pha़ona kara ke zikayata ki hai........ are hama pakistana nahim haim, hamare basa kapade hare haim| …","
Covertly Aggressive
",General Non-threatening Aggression
1278707210,rt @aajtak: breaking news: okhala sita se kamgresa pratyazi asipha muhammada khana age #delhidecides,"
Non Aggressive
",-
1278707211,"kisi ne hazima amala ko ye bata diya tha ki indiya mem usake saranema ""amla"" ko amvala bolate haim, becara isi khunnasa mem auta ho gaya| #indvssa","
Covertly Aggressive
",General Non-threatening Aggression
1278707212,ha ha ha| murgiyom ke liye haim? rt @tanwer_m nothing for passengers as usual. #railbudget2015,"
Non Aggressive
",-
1278707213,#railbudget2015 @sureshpprabhu ne bataya relave kraॉsimga suraksita karana prathamikata mem,"
Non Aggressive
",-
1278707214,kitni khoobsurati si li hai pakistan ki mashaallah. #indvspak,"
Covertly Aggressive
",Geographical Aggression
1278707215,#indvspak ye india jeet gayi ....pak ko humsa harate hai world cup mein,"
Covertly Aggressive
",General Non-threatening Aggression
1278707216,"kutta kitane bhi jora se bhaumke, zera nahi bana sakata memdhaka kitana bhi uchale, peda para nahi cadha sakata @sardanarohit #aapkabadla #aapfundingscam #aapstorm","
Covertly Aggressive
",General Non-threatening Aggression
1278707217,baढ़iya hai bhai saba baढ़iya hai......#mustwatchmsg #blockbustermsg @fabulouslyflora @bansalraman944,"
Non Aggressive
",-
1278707218,vakta vakta ki bata hai 4 dina pahale dilli cunava para pakistana mem patakhe jala rahe the| aja bharata mem patakhe jala rahe hai #indwins #jayahinda #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278707219,bahot hogaya pyaar...ab hojao tayaar for the biggest war. #indvspak,"
Non Aggressive
",-
1278707220,rt @aartimadan: pakistan- abey aaj toh tumahar match sa se saath hai. aaj kyun maar rahe ho humari twitter walon? reham karo #indvssa http:…,"
Covertly Aggressive
",General Non-threatening Aggression
1278707221,humne kal history change krni h.. @bcci #indvssa,"
Non Aggressive
",-
1278707222,mauke pe chauka mara fireworks hum hi fodenge. #indvssa #cwc15 #wontgiveitback,"
Non Aggressive
",-
1278707223,"#railbudget2015: deza bhara mem kula 12,617 yatri relagada़iyam aura 7,421 malagada़iyam calati haim.","
Non Aggressive
",-
1278707224,rt @bharataapka: #aap ki jita se jyada modi ki hara para carca #aapsweep http://t.co/ppwrxgbvmk,"
Covertly Aggressive
",Political Aggression
1278707225,"pari ke amta me steena ji viketa lete hue. bada़e khuza naja़ra a rahe the. aba kya bole, ho lo! — http://t.co/cf1dcmmtkx #indvssa #savsind #cwc15","
Covertly Aggressive
",General Non-threatening Aggression
1278707226,are bhai bhai ab se yada aya aba du ko bhi chu bana ke peveliyana bhejana he #indvssa 👍,"
Covertly Aggressive
",General Non-threatening Aggression
1278707227,rt gurmejinsan: rt choudharyneha51: gurmeetramrahim #msgincinemas mast mast mast movie papa g maza aa gaya papa g,"
Non Aggressive
",-
1278707228,@gurmeetramrahim #msgincinemas satguru mai teri patang data mai teri patang,"
Non Aggressive
",-
1278707229,"rt @rikkunimmy: #isupportmsginpunjab jadom tenu dukha te musibatam ne gheraya, tad tenu sataguru pyare yada anage !#msgcouching #msgincinemas http:/…","
Non Aggressive
",-
1278707230,@arvindkejriwal ko arajaka aura naksali batakara jamgala bhejanevale ko dilli ki janata ne vanavasa de diya! #aapsweep #aapkidilli #delhidecides,"
Covertly Aggressive
",Political Aggression
1278707231,kitni bakwaas hindi commentary kar rahe hai yaar. bc irritate kar rahe hai. #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278707232,"rt @manichejain: 4 bach gaye, lekin @aamaadmiparty abhi baki hai..lol ! bunch of jokers :p #beefban #unitedaap http://t.co/niac1spunh","
Covertly Aggressive
",Political Aggression
1278707233,bharata ke 100 rana pure| #worldcup15 #indvssa,"
Non Aggressive
",-
1278707234,"bhaktom ka basa cale to pure deza ke cm, mla, councillor ke pada bhi modi ji ko dilavadem| yu~ hi amdha bhakta nahim bola jata inhem| #aapsweep","
Covertly Aggressive
",Political Aggression
1278707235,tujhase asa vina ki - azvina #cwc15 #indvssa #chakdeindia #imdiya https://t.co/y41pokjwy0,"
Non Aggressive
",-
1278707236,tum jeeto ya haro selfie tumhara mukadar hai #cwc15 #pakvsind #wewillbringitback #indvspak http://t.co/zrirf0zkeu,"
Covertly Aggressive
",General Non-threatening Aggression
1278707237,@drkumarvishwas zayada hi jimdagi mem janmadina ka aisa tohapha kisi ko mila ho... janmadina jo bana gaya 'aitihasika' #aapsweep #janmadinamubaraka,"
Non Aggressive
",-
1278707238,"sarakara eka naksali ka caya para svagata karegi, pahali bara hoga eesa #aapsweep","
Covertly Aggressive
",Political Aggression
1278707239,are bhiya ye dumini aura tahira ko dho lo thoda़a. kyo cadha़a ke rakha hai? — http://t.co/cf1dcmmtkx #indvssa #savsind #cwc15,"
Covertly Aggressive
",General Non-threatening Aggression
1278707240,"kitna bura kiyatha, kitna aarop lagaayatha, phir bi log aam admi koyi jithaya! e aam admi ka jeet, hamara jeet sabka jeeth #delhidecides","
Covertly Aggressive
",Political Aggression
1278707241,hai koi paani jo chadati hai whiskey kay bina? #shamitabh @srbachchan,"
Non Aggressive
",-
1278707242,mere pas bas ek hi bakri hai.. #beefban http://t.co/a8oerofc6p,"
Non Aggressive
",-
1278707243,arvind kejriwal addressing jansabha at seemapuri http://t.co/xahs28li9i #aapsweep,"
Non Aggressive
",-
1278707244,#indvssa bhai apane zerom ne to aphrikiyom ke cehare pe baraha baja die|aba to pakka hai varlda kapa hama hi jitemge|||||,"
Non Aggressive
",-
